TICID,SECTOR,RA_OBJ,DEC_OBJ,EQUINOX,PMRA,PMDEC,PMTOTAL,TESSMAG,TEFF,LOGG,MH,RADIUS
24705529,1,25.855504,-67.042769,2000.0,16.7812,-53.469,56.04054456,9.71399975,5500.5,3.9000001,-0.49000001,1.03778994
25065290,1,60.389398,-66.893063,2000.0,-25.9047,9.38529,27.55244364,10.97700024,5568.0,4.36776018,nan,1.07497001
25079777,1,60.954955,-68.572328,2000.0,31.2173,-2.89229,31.35099936,11.22200012,5706.0,4.4823699,nan,0.95859301
25080867,1,61.08803,-71.55925,2000.0,117.306,69.874,136.53964081,9.72900009,5740.0,4.43549013,nan,1.01615
25081407,1,61.330236,-69.72191,2000.0,2.20526,18.9159,19.04401335,10.53600025,5637.0,4.37210989,nan,1.07896996
25132754,1,62.136696,-70.434329,2000.0,61.4584,-30.4421,68.5846658,10.25,5911.0,4.49675989,nan,0.96960902
25200060,1,326.6911,-21.764162,2000.0,-13.7,-26.0,29.38860323,10.34399986,5538.0,4.39169979,nan,1.04167998
25300361,1,327.797666,-21.783919,2000.0,4.29425,7.73907,8.85063769,10.43700027,5501.39990234,4.30999994,-0.25,0.98791301
29285387,1,313.008094,-26.248807,2000.0,25.2374,-18.3869,31.22506125,10.19699955,5604.0,4.37855005,nan,1.06657004
29392968,1,313.577164,-26.625934,2000.0,7.58498,20.0481,21.43497691,9.41100025,5608.0,4.35984993,nan,1.09033
29667425,1,315.330847,-27.317436,2000.0,9.2,-22.5,24.30822906,10.22299957,5527.0,4.39391994,nan,1.03752005
29717176,1,315.565393,-28.345394,2000.0,66.8,-39.14,77.42208729,10.04100037,5503.0,4.3987999,nan,1.02840996
29780270,1,65.007724,-71.316717,2000.0,-21.2,5.6,21.92715212,10.92199993,5679.56982422,4.3748498,-0.127005,1.07331002
29837160,1,316.321621,-27.911648,2000.0,75.0,-68.01,101.24406205,10.24400043,5649.0,4.36978006,nan,1.08349001
30401427,1,74.713465,-71.537008,2000.0,-12.0021,-15.7552,19.80597716,11.32900047,5567.39990234,4.48626995,0.209289,0.94991797
31177972,1,76.603144,-67.458383,2000.0,45.1,41.2,61.08559568,10.84700012,5569.0,4.38547993,nan,1.05339003
31655633,1,46.481323,-68.907901,2000.0,-31.7,-9.2,33.00802933,10.57400036,5507.70019531,4.38000011,-0.44999999,1.00847995
31673724,1,47.62241,-66.499522,2000.0,-88.6231,-31.5269,94.06380429,8.5369997,5965.0,4.44562006,nan,1.03720999
31867961,1,52.785713,-69.294906,2000.0,38.678,3.10126,38.80213264,10.98700047,5709.0,4.51181984,nan,0.92699599
31942367,1,54.161606,-70.638955,2000.0,20.8578,-23.4939,31.41673373,10.60400009,5757.0,4.43440008,nan,1.01964998
31945307,1,54.778173,-67.778155,2000.0,-5.19466,-8.48214,9.94641601,10.81799984,5569.0,4.38547993,nan,1.05339003
31961535,1,55.053161,-66.792208,2000.0,-25.1324,-4.63258,25.55578853,11.23499966,5576.0,4.47590017,nan,0.95009702
32036085,1,56.765177,-69.434646,2000.0,-4.50208,4.36639,6.27168924,11.1590004,5689.0,4.43499994,nan,1.01015997
32050449,1,57.170528,-68.710768,2000.0,-3.85332,6.87566,7.88180027,10.13899994,5510.89990234,4.36999989,0.2,1.08249998
32090394,1,58.420265,-69.297171,2000.0,2.04955,7.01633,7.30955141,10.48799992,5549.0,4.38497019,nan,1.05129004
32200788,1,332.457605,-25.224371,2000.0,63.4722,-142.197,155.71996334,9.55099964,5568.0,4.44175005,nan,0.98718899
38461400,1,61.137856,-64.576445,2000.0,-19.4154,-64.6438,67.49650832,10.36600018,5510.85009766,4.46049023,0.110706,0.988123
38468130,1,61.654921,-62.820756,2000.0,6.75499,-26.1541,27.01234601,10.04599953,5685.25,3.63000011,-0.52999997,1.07288003
38516338,1,62.639295,-65.569386,2000.0,95.679,33.3429,101.32235697,10.69699955,5603.0,4.52057981,nan,0.90556097
38572209,1,63.397123,-63.900553,2000.0,25.484,16.2536,30.22604455,10.80900002,5815.27978516,4.12082005,-0.0757445,1.09783995
38587275,1,64.161582,-64.553611,2000.0,-9.19582,4.50352,10.23937488,11.14400005,5937.18017578,4.34189987,-0.0973689,0.91361701
38760820,1,67.116342,-65.479606,2000.0,59.4742,23.75,64.04094757,10.70699978,5661.72021484,4.40546989,-0.0772099,1.03505003
38845575,1,68.899904,-61.662254,2000.0,10.9563,68.907,69.77259604,10.22099972,5825.10009766,4.15999985,0.01,1.07044995
38849267,1,8.751349,-67.234641,2000.0,130.062,-40.8391,136.32298388,9.49800014,5527.0,4.45662022,nan,0.96526599
38907321,1,69.367591,-64.101943,2000.0,61.3452,26.0071,66.63034454,11.38099957,5716.0,4.0999999,-0.66000003,0.90271997
38942483,1,69.836128,-65.848787,2000.0,59.3244,42.5836,73.02566278,10.92599964,5854.0,4.4362402,nan,1.03092003
38967148,1,11.53108,-71.229464,2000.0,-96.9284,-6.05698,97.11746359,9.15100002,5571.0,nan,-0.25,0.98984301
40277178,1,76.975298,-67.697642,2000.0,5.1,-31.0,31.4167153,10.91100025,5658.0,4.3680501,nan,1.08687997
40336359,1,77.239707,-66.442248,2000.0,-23.5994,-55.9554,60.7283992,10.53100014,5662.0,4.38747978,nan,1.06335998
41590620,1,93.888559,-66.847529,2000.0,-14.5,14.0,20.15564437,10.72700024,5603.64990234,4.48693991,0.37339801,0.96928799
51993624,1,15.485358,-69.978976,2000.0,109.548,-8.76456,109.89805192,9.81999969,5586.0,4.48193979,nan,0.94472599
52079142,1,17.227299,-66.203727,2000.0,-23.7036,-20.9651,31.64484272,10.11200047,5516.39990234,4.15999985,-0.37,1.07691002
55366186,1,77.208759,-64.763259,2000.0,7.32942,36.8063,37.52897703,10.97799969,5722.97998047,4.21235991,-0.0943967,1.07587004
